time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/policy_loss,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/value_loss,rollout/ep_len_mean,train/explained_variance,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
4232000,52900,871,4857,-0.2806883752346039,74.33,0.0007,52899,0.3038991391658783,665.82,0.8908823579549789,-0.25574222207069397,,
4240000,53000,871,4866,0.037130240350961685,75.89,0.0007,52999,0.16679488122463226,683.95,0.9434615187346935,-0.1841723620891571,,
4248000,53100,871,4875,0.04651552438735962,78.56,0.0007,53099,0.3944447934627533,702.58,0.8913503289222717,-0.7323514819145203,,
4256000,53200,871,4884,-0.02003438025712967,79.35,0.0007,53199,0.3562180697917938,699.36,0.9219553545117378,-0.7297820448875427,,
4264000,53300,871,4892,-0.02419104240834713,79.17,0.0007,53299,0.24962006509304047,710.03,0.9277830794453621,-0.39271849393844604,,
4272000,53400,871,4901,0.023906467482447624,78.73,0.0007,53399,0.06781188398599625,696.12,0.9694705121219158,-0.4001525044441223,,
4280000,53500,871,4909,0.08907283842563629,79.67,0.0007,53499,0.08122452348470688,681.49,0.9796447120606899,-0.20147967338562012,,
4288000,53600,871,4918,0.052252788096666336,80.5,0.0007,53599,0.35879093408584595,686.85,0.9306708574295044,-0.23613958060741425,,
4296000,53700,871,4926,-0.05023574456572533,79.35,0.0007,53699,0.3754616677761078,664.59,0.7702659368515015,-0.45221367478370667,,
4304000,53800,872,4935,-0.0007439013570547104,77.76,0.0007,53799,0.03866894915699959,652.91,0.982286848127842,-0.12739725410938263,,
4312000,53900,872,4944,0.05030379444360733,77.42,0.0007,53899,0.6355849504470825,662.55,0.9137136042118073,-0.23777087032794952,,
4320000,,,,-0.026619428768754005,,0.0007,53999,0.03946239873766899,,0.9847539737820625,-0.18939487636089325,85.6,1630.6
4320000,54000,868,4974,,75.95,,,,677.86,,,,
4328000,54100,868,4983,-0.012388886883854866,76.89,0.0007,54099,0.0439632311463356,773.09,0.9856994040310383,-0.4004928767681122,,
4336000,54200,868,4991,0.00763474777340889,76.69,0.0007,54199,1.1995346546173096,769.15,0.7436177730560303,-0.05432173237204552,,
4344000,54300,868,5000,-0.03184443339705467,76.41,0.0007,54299,0.45330238342285156,785.47,0.9282799884676933,-0.19954727590084076,,
4352000,54400,868,5009,0.05385875701904297,77.89,0.0007,54399,0.26203450560569763,811.91,0.9591242782771587,-0.2261943370103836,,
4360000,54500,868,5017,-0.22765226662158966,76.53,0.0007,54499,0.9521394968032837,808.67,0.7867693156003952,-0.5902044177055359,,
4368000,54600,869,5026,-0.011555494740605354,76.76,0.0007,54599,0.2554495930671692,800.63,0.9068497642874718,-0.45096254348754883,,
4376000,54700,869,5035,-0.04066623002290726,76.34,0.0007,54699,0.08615195751190186,789.08,0.9795356448739767,-0.5443658232688904,,
4384000,54800,869,5043,-0.011366288177669048,76.27,0.0007,54799,0.08141130954027176,756.56,0.9684124551713467,-0.3161343038082123,,
4392000,54900,869,5051,0.03597968444228172,77.44,0.0007,54899,0.24616184830665588,663.05,0.9549604393541813,-0.134891077876091,,
4400000,55000,869,5060,-0.02745002508163452,78.82,0.0007,54999,0.16116051375865936,663.2,0.9311225935816765,-0.33170366287231445,,
4408000,55100,869,5068,-0.037797119468450546,79.21,0.0007,55099,0.6484140753746033,647.77,0.8905773013830185,-0.28906017541885376,,
4416000,55200,869,5077,0.01925683580338955,78.62,0.0007,55199,0.2652978003025055,639.86,0.9264678433537483,-0.2618710696697235,,
4424000,55300,869,5085,-0.10374891757965088,80.24,0.0007,55299,0.28021499514579773,645.7,0.9509346149861813,-0.22913217544555664,,
