time/time_elapsed,rollout/exploration_rate,time/total_timesteps,time/episodes,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward,train/n_updates,train/learning_rate,train/loss
4625,0.05,1762220,39504,381,33.79,923.38,,,107013,0.0001,0.04505765438079834
4625,0.05,1762384,39508,381,33.79,923.38,,,107023,0.0001,0.06700852513313293
4626,0.05,1762568,39512,381,33.7,914.74,,,107035,0.0001,0.08004216849803925
4626,0.05,1762876,39516,381,33.69,915.74,,,107054,0.0001,0.054029278457164764
4627,0.05,1763108,39520,381,33.69,915.74,,,107069,0.0001,0.23569008708000183
4627,0.05,1763324,39524,381,33.69,915.74,,,107082,0.0001,0.18648312985897064
4628,0.05,1763520,39528,381,33.66,915.9,,,107094,0.0001,0.33029118180274963
4628,0.05,1763700,39532,381,33.69,913.8,,,107106,0.0001,0.1072831079363823
4629,0.05,1763932,39536,381,33.69,913.8,,,107120,0.0001,0.35116615891456604
4629,0.05,1764108,39540,381,33.63,909.0,,,107131,0.0001,0.12308213114738464
4630,0.05,1764324,39544,381,33.63,910.29,,,107145,0.0001,0.1080261766910553
4631,0.05,1764588,39548,381,33.6,906.53,,,107161,0.0001,0.546579122543335
4631,0.05,1764796,39552,381,33.69,913.19,,,107174,0.0001,0.0470116101205349
4632,0.05,1765160,39556,381,33.65,909.64,,,107197,0.0001,0.5002049803733826
4632,0.05,1765360,39560,381,33.65,909.64,,,107209,0.0001,0.5109583139419556
4633,0.05,1765640,39564,381,33.7,914.76,,,107227,0.0001,0.21584218740463257
4634,0.05,1765864,39568,381,33.65,916.21,,,107241,0.0001,0.0425739660859108
4634,0.05,1766084,39572,381,33.69,916.75,,,107255,0.0001,0.06293883919715881
4635,0.05,1766388,39576,381,33.75,918.84,,,107274,0.0001,0.06033148244023323
4636,0.05,1766628,39580,381,33.75,918.84,,,107289,0.0001,0.41423171758651733
4636,0.05,1766764,39584,381,33.75,918.84,,,107297,0.0001,0.06915375590324402
4637,0.05,1767032,39588,381,33.59,922.96,,,107314,0.0001,0.39535313844680786
4637,0.05,1767176,39592,381,33.55,924.0,,,107323,0.0001,0.5724118947982788
4638,0.05,1767340,39596,381,33.55,924.0,,,107333,0.0001,0.6165331602096558
4638,0.05,1767568,39600,381,33.55,924.0,,,107347,0.0001,0.08723698556423187
4639,0.05,1767824,39604,381,33.44,913.53,,,107363,0.0001,0.29744040966033936
4639,0.05,1768000,39608,381,33.47,912.54,,,107374,0.0001,0.050575532019138336
4639,0.05,1768084,39612,381,33.47,912.54,,,107380,0.0001,0.16031542420387268
4640,0.05,1768288,39616,381,33.33,908.54,,,107392,0.0001,0.07483838498592377
4641,0.05,1768636,39620,381,33.35,910.78,,,107414,0.0001,0.0450921356678009
4641,0.05,1768816,39624,381,33.4,913.83,,,107425,0.0001,0.36137229204177856
4642,0.05,1769044,39628,381,33.4,913.83,,,107440,0.0001,0.03249721974134445
4642,0.05,1769160,39632,381,33.46,916.23,,,107447,0.0001,0.03694334626197815
4643,0.05,1769420,39636,381,33.44,917.47,,,107463,0.0001,0.2656345069408417
4643,0.05,1769628,39640,381,33.42,915.64,,,107476,0.0001,0.05123831704258919
4644,0.05,1769792,39644,381,33.47,913.65,,,107486,0.0001,0.13679173588752747
4644,0.05,1770020,39648,381,33.47,913.65,,,107501,0.0001,0.1629147082567215
4645,0.05,1770112,39652,381,33.47,913.65,,,107506,0.0001,0.0512457937002182
4646,0.05,1770528,39656,381,33.74,914.12,,,107532,0.0001,0.11520996689796448
4646,0.05,1770696,39660,381,33.78,912.67,,,107543,0.0001,0.04505253955721855
4646,0.05,1770876,39664,381,33.78,912.67,,,107554,0.0001,0.33561432361602783
4647,0.05,1771136,39668,381,33.78,912.67,,,107570,0.0001,0.39033135771751404
