rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/clip_range,train/loss,train/clip_fraction,train/entropy_loss,train/value_loss,eval/mean_ep_length,eval/mean_reward
1162.88,3747,89.1,1048576,128,279,1270,-0.045157292694784704,0.7362650334835052,0.16592026,0.0003,0.2,0.16760925948619843,0.334814453125,-0.49763584362808616,1.2979632537229917,,
1157.72,3776,88.85,1056768,129,279,1280,-0.04525918121580617,0.8255537897348404,0.15748166,0.0003,0.2,0.19920490682125092,0.3326171875,-0.4840010977815837,0.7757881239173002,,
1156.25,3805,95.36,1064960,130,279,1290,-0.04157195882871747,0.7513716816902161,0.15003866,0.0003,0.2,0.0804627388715744,0.33277587890625,-0.5018869780236855,1.05612605989445,,
1155.22,3835,99.51,1073152,131,279,1300,-0.042182490510458595,0.7383923828601837,0.15780601,0.0003,0.2,0.1249435618519783,0.3427001953125,-0.4956874263240024,1.2402707783621736,,
,,,1080000,,,1310,-0.04102909867142444,0.7339784204959869,0.16250104,0.0003,0.2,0.1855383664369583,0.33616943359375,-0.4952896944480017,1.3865296646021306,1267.8,106.8
1144.77,3870,100.36,1081344,132,279,,,,,,,,,,,,
1172.58,3899,107.22,1089536,133,279,1320,-0.0424153896743519,0.6958729922771454,0.15993574,0.0003,0.2,0.11878746747970581,0.35633544921875,-0.5123208558186889,1.4463301030104048,,
1165.63,3932,108.11,1097728,134,279,1330,-0.04331634656773531,0.7897703945636749,0.17524508,0.0003,0.2,0.5787955522537231,0.34166259765625,-0.4681240916019306,0.8759282437560614,,
1174.41,3961,105.55,1105920,135,279,1340,-0.04278315480114543,0.754980593919754,0.16298708,0.0003,0.2,0.1338173747062683,0.33485107421875,-0.47417115105781704,1.1907245093025267,,
1184.7,3990,99.58,1114112,136,279,1350,-0.04190524297082447,0.7123781144618988,0.15761659,0.0003,0.2,0.37756437063217163,0.353076171875,-0.5119953273329884,1.2714348280336707,,
,,,1120000,,,1360,-0.04432889748350135,0.7698459029197693,0.14656436,0.0003,0.2,0.023240558803081512,0.35478515625,-0.5019920460414141,1.1420440143323503,1347.6,116.4
1219.24,4025,100.38,1122304,137,278,,,,,,,,,,,,
