time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,train/policy_loss,train/explained_variance,train/learning_rate,rollout/ep_len_mean,train/value_loss,time/fps,eval/mean_reward,eval/mean_ep_length
3342000,167100,10718,290.14,-4.9130615433611556e-20,167099,-0.0,-4.157210350036621,0.0007,1685.91,0.001598607748746872,311,,
3344000,167200,10724,281.29,-1.2293854471566677e-22,167199,-0.0,-0.8783293962478638,0.0007,1710.52,0.0005123660084791481,311,,
3346000,167300,10730,266.3,-1.359649228020472e-22,167299,-0.0,-1.1100800037384033,0.0007,1714.05,0.0011516211088746786,311,,
3348000,167400,10736,255.03,-3.0951421413042344e-18,167399,-0.0,-0.7596179246902466,0.0007,1720.23,0.002358828904107213,311,,
3350000,167500,10742,247.04,-3.0018484595951676e-20,167499,-0.0,0.5649759769439697,0.0007,1757.77,0.0005529143963940442,311,,
3352000,167600,10748,236.36,-1.2570487579497888e-17,167599,-0.0,-0.34769630432128906,0.0007,1782.05,0.001067188917659223,311,,
3354000,167700,10754,220.1,-1.6953983772438619e-09,167699,-0.0,0.25158244371414185,0.0007,1793.96,0.008757071569561958,311,,
3356000,167800,10760,204.18,-7.574636467702414e-17,167799,-0.0,0.9175319224596024,0.0007,1802.96,0.00020469420996960253,311,,
3358000,167900,10766,197.67,-2.2526237390380954e-17,167899,-0.0,-4.651649475097656,0.0007,1824.77,0.00024560201563872397,311,,
3360000,,,,-1.4044214535356876e-14,167999,-0.0,-1.3995599746704102,0.0007,,0.0002445525024086237,,3.6,1981.4
3360000,168000,10779,181.22,,,,,,1833.88,,311,,
3362000,168100,10785,172.74,-5.335219308208702e-19,168099,-0.0,-0.4822033643722534,0.0007,1854.36,0.003092354629188776,311,,
3364000,168200,10791,164.57,-1.7113767068516368e-14,168199,-0.0,-2.5314762592315674,0.0007,1895.4,0.002086540451273322,311,,
3366000,168300,10797,148.94,-2.0438687187152027e-08,168299,-0.0,-5.994763374328613,0.0007,1910.57,0.003109378507360816,311,,
3368000,168400,10803,132.87,-4.422411533657432e-15,168399,-0.0,0.9548746459186077,0.0007,1918.37,0.0018372767372056842,311,,
3370000,168500,10809,121.04,-9.821546787663893e-13,168499,-0.0,-0.48431241512298584,0.0007,1933.78,0.0010800777235999703,311,,
3372000,168600,10815,109.37,-3.989710992136075e-11,168599,-0.0,0.28300440311431885,0.0007,1928.24,0.0004011705459561199,311,,
3374000,168700,10821,91.69,-1.053946426660124e-11,168699,-0.0,0.18786346912384033,0.0007,1926.43,0.0005960678099654615,311,,
3376000,168800,10827,79.13,-1.549257076793875e-11,168799,-0.0,-1.8829543590545654,0.0007,1947.4,0.001585344667546451,311,,
3378000,168900,10833,75.4,-3.35535488282801e-09,168899,-0.0,0.9963836520910263,0.0007,1990.77,0.0019006039947271347,311,,
3380000,169000,10839,63.18,-2.149545430540911e-09,168999,-0.0,0.9932806259021163,0.0007,2015.22,0.0060100550763309,311,,
3382000,169100,10845,54.64,-9.354768478950226e-13,169099,-0.0,-0.1481459140777588,0.0007,2030.58,0.0003779116668738425,311,,
3384000,169200,10851,38.22,-3.4075336302619164e-11,169199,-0.0,-0.30706703662872314,0.0007,2027.65,0.002499642316251993,311,,
